Regiao,UF,Qtd Postos Pesquisados,Data Inicial,Data Final,Valor Minimo,Valor Maximo,Valor Medio
NORDESTE,AL,2665,2005-01-03,2005-06-28,2.29,2.58,2.4500855534709194
NORDESTE,BA,12673,2005-01-03,2005-06-29,1.99,2.699,2.371218732738894
NORDESTE,CE,8454,2005-01-03,2005-06-29,1.999,2.65,2.3992151644192097
NORDESTE,MA,5010,2005-01-03,2005-06-30,1.95,2.6,2.294650499001996
NORDESTE,PB,3691,2005-01-03,2005-06-30,1.99,2.449,2.294268490923869
NORDESTE,PE,12196,2005-01-03,2005-06-30,1.98,2.62,2.3049648245326337
NORDESTE,PI,2767,2005-01-03,2005-06-30,2.05,2.6,2.431074087459342
NORDESTE,RN,3617,2005-01-03,2005-06-30,1.99,2.45,2.258385402267072
NORDESTE,SE,1733,2005-01-03,2005-06-30,2.14,2.39,2.2797068667051357
NORTE,AC,1223,2005-01-03,2005-06-29,2.36,3.22,2.6799051512673753
NORTE,AM,3332,2005-01-03,2005-06-28,2.22,2.66,2.4988478391356543
NORTE,AP,1302,2005-01-03,2005-06-28,2.25,2.99,2.4359838709677417
NORTE,PA,5342,2005-01-03,2005-06-29,2.09,2.899,2.4732396106327217
NORTE,RO,2663,2005-01-03,2005-06-28,2.19,2.99,2.5583552384528727
NORTE,RR,1377,2005-01-03,2005-06-28,2.06,2.6,2.424366013071895
NORTE,TO,1821,2005-01-03,2005-06-30,2.2,2.6,2.4476957715540912
SUDESTE,ES,7833,2005-01-03,2005-06-29,2.13,2.49,2.308638963360143
SUDESTE,MG,33234,2005-01-03,2005-06-30,1.698,2.63,2.252343864716856
SUDESTE,RJ,28149,2005-01-03,2005-06-29,1.99,2.749,2.310011012824612
SUDESTE,SP,106362,2005-01-03,2005-06-30,1.87,2.699,2.1908613038491187
SUL,PR,19640,2005-01-03,2005-06-30,1.839,2.677,2.2523098778004074
SUL,RS,20926,2005-01-03,2005-06-30,2.04,2.85,2.5140870687183408
SUL,SC,13429,2005-01-03,2005-06-29,1.988,2.683,2.381416635639288
CENTRO-OESTE,DF,3592,2005-07-04,2005-12-28,2.049,2.599,2.4363964365256123
CENTRO-OESTE,GO,8859,2005-07-04,2005-12-28,1.99,2.78,2.432290213342364
CENTRO-OESTE,MS,3398,2005-07-04,2005-12-28,2.15,3.155,2.6320985874043554
CENTRO-OESTE,MT,4191,2005-07-04,2005-12-28,2.48,3.34,2.8208041040324505
NORDESTE,AL,2979,2005-07-04,2005-12-28,2.3,2.85,2.649826787512588
NORDESTE,BA,12638,2005-07-04,2005-12-29,2.1,2.895,2.4719790314923245
NORDESTE,CE,8645,2005-07-04,2005-12-29,2.05,2.89,2.550604164256796
NORDESTE,MA,3482,2005-07-04,2005-12-28,1.939,2.87,2.453629523262493
NORDESTE,PB,3362,2005-07-04,2005-12-28,1.97,2.75,2.406058001189768
NORDESTE,PE,9078,2005-07-04,2005-12-27,2.02,2.99,2.458141991628112
NORDESTE,PI,2353,2005-07-04,2005-12-28,1.99,2.79,2.4702260943476415
NORDESTE,RN,3554,2005-07-04,2005-12-28,1.98,2.62,2.4321052335396733
NORDESTE,SE,1784,2005-07-04,2005-12-28,2.14,2.62,2.40389798206278
NORTE,AC,1030,2005-07-04,2005-12-30,2.28,3.5,2.754502912621359
NORTE,AM,4057,2005-07-04,2005-12-28,2.22,3.05,2.6801358146413605
NORTE,AP,941,2005-07-04,2005-12-29,2.34,3.1,2.5045579171094583
NORTE,PA,4215,2005-07-04,2005-12-29,2.09,3.6,2.589673546856465
NORTE,RO,1569,2005-07-04,2005-12-29,2.19,3.19,2.6604856596558317
NORTE,RR,1092,2005-07-04,2005-12-29,2.35,2.99,2.716989926739927
NORTE,TO,1375,2005-07-04,2005-12-29,2.3,2.78,2.563648
SUDESTE,ES,5160,2005-07-04,2005-12-30,1.969,2.745,2.4215385658914728
SUDESTE,MG,30853,2005-07-04,2005-12-29,1.87,3.37,2.363030596700483
SUDESTE,RJ,23241,2005-07-04,2005-12-29,1.989,2.96,2.4325713609569295
SUDESTE,SP,77690,2005-07-04,2005-12-30,1.89,2.879,2.2998261037456555
SUL,PR,17085,2005-07-04,2005-12-29,1.88,2.899,2.3769223295288264
SUL,RS,15328,2005-07-04,2005-12-29,2.1,2.999,2.6891634916492695
SUL,SC,11321,2005-07-04,2005-12-29,1.889,2.99,2.4892924653299175
CENTRO-OESTE,DF,4160,2006-01-02,2006-06-29,2.189,2.92,2.581089903846154
CENTRO-OESTE,GO,10049,2006-01-02,2006-06-29,2.22,2.923,2.586236441436959
CENTRO-OESTE,MS,4854,2006-01-02,2006-06-28,2.499,3.15,2.7844975278121136
CENTRO-OESTE,MT,5171,2006-01-02,2006-06-29,2.19,3.5,2.9561684393734287
NORDESTE,AL,3570,2006-01-02,2006-06-29,2.509,2.898,2.7682820728291317
NORDESTE,BA,14087,2006-01-02,2006-06-29,2.28,2.999,2.6617025626464117
NORDESTE,CE,8541,2006-01-02,2006-06-29,2.27,2.99,2.695361901416696
NORDESTE,MA,4928,2006-01-02,2006-06-29,2.27,3.05,2.723099025974026
NORDESTE,PB,4636,2006-01-02,2006-06-28,2.14,2.789,2.5586093615185503
NORDESTE,PE,11516,2006-01-02,2006-06-28,2.17,2.92,2.6342966307745748
NORDESTE,PI,3031,2006-01-02,2006-06-29,2.27,2.85,2.5963441108545036
NORDESTE,RN,4038,2006-01-02,2006-06-29,2.25,2.759,2.588959881129272
NORDESTE,SE,2420,2006-01-02,2006-06-29,2.35,2.76,2.560865702479339
NORTE,AC,1444,2006-01-02,2006-06-28,2.77,3.5,2.980655817174515
NORTE,AM,5538,2006-01-02,2006-06-28,2.25,3.1,2.6163140122788007
NORTE,AP,1348,2006-01-03,2006-06-28,2.48,3.19,2.666140949554896
NORTE,PA,6094,2006-01-02,2006-06-28,2.32,3.3,2.7512356416147026
NORTE,RO,3027,2006-01-03,2006-06-29,2.338,3.24,2.774761810373307
NORTE,RR,1433,2006-01-03,2006-06-28,2.29,2.99,2.8957013258897417
NORTE,TO,1752,2006-01-03,2006-06-28,2.49,2.95,2.748158675799087
SUDESTE,ES,6964,2006-01-02,2006-06-29,2.33,2.899,2.629224727168294
SUDESTE,MG,36478,2006-01-02,2006-06-29,2.14,2.95,2.536719173200285
SUDESTE,RJ,24414,2006-01-02,2006-06-29,2.249,3.05,2.618700827394118
SUDESTE,SP,85271,2006-01-02,2006-06-29,2.07,2.997,2.4695989257778144
SUL,PR,20057,2006-01-02,2006-06-28,2.185,2.92,2.5340058832327865
SUL,RS,20409,2006-01-02,2006-06-29,2.29,3.04,2.764759125875839
SUL,SC,13410,2006-01-02,2006-06-29,1.87,2.89,2.621138031319911
CENTRO-OESTE,DF,3540,2006-07-03,2006-12-27,2.19,2.699,2.603552824858757
CENTRO-OESTE,GO,8826,2006-07-04,2006-12-27,2.23,2.9,2.6145582370269658
CENTRO-OESTE,MS,4373,2006-07-04,2006-12-28,2.41,2.95,2.753770866681912
CENTRO-OESTE,MT,4928,2006-07-04,2006-12-27,2.75,3.26,2.959865056818182
NORDESTE,AL,3144,2006-07-03,2006-12-27,2.59,2.99,2.803212150127227
NORDESTE,BA,13103,2006-07-03,2006-12-28,2.199,2.99,2.6833631229489425
NORDESTE,CE,7817,2006-07-03,2006-12-28,2.39,2.94,2.747927593706025
NORDESTE,MA,4445,2006-07-03,2006-12-28,2.39,3.05,2.746630146231721
NORDESTE,PB,4248,2006-07-03,2006-12-28,2.189,2.85,2.6184790489642187
NORDESTE,PE,10919,2006-07-03,2006-12-28,2.17,2.89,2.6540799523765912
NORDESTE,PI,3022,2006-07-03,2006-12-27,2.199,2.87,2.518938120450033
NORDESTE,RN,3724,2006-07-03,2006-12-28,2.18,2.799,2.641515037593985
NORDESTE,SE,2054,2006-07-05,2006-12-27,2.389,2.75,2.5616528724440117
NORTE,AC,1413,2006-07-03,2006-12-27,2.89,3.5,3.014935598018401
NORTE,AM,4620,2006-07-03,2006-12-27,2.12,3.1,2.584189826839827
NORTE,AP,1139,2006-07-03,2006-12-28,2.35,3.155,2.5827234416154523
NORTE,PA,5809,2006-07-03,2006-12-28,2.29,3.25,2.7148788087450506
NORTE,RO,3028,2006-07-03,2006-12-28,2.29,3.23,2.768857661822986
NORTE,RR,1317,2006-07-03,2006-12-27,2.33,2.99,2.842991647684131
NORTE,TO,1740,2006-07-04,2006-12-27,2.47,2.95,2.7434614942528732
SUDESTE,ES,6765,2006-07-03,2006-12-27,2.299,2.89,2.6581580192165557
SUDESTE,MG,33829,2006-07-03,2006-12-28,2.143,2.92,2.526764492003902
SUDESTE,RJ,25181,2006-07-03,2006-12-28,2.25,3.099,2.586786942536039
SUDESTE,SP,81066,2006-07-03,2006-12-28,2.129,2.999,2.462916241087509
SUL,PR,19275,2006-07-03,2006-12-28,2.119,2.85,2.5190955123216603
SUL,RS,21303,2006-07-03,2006-12-28,2.319,3.004,2.740919682673802
SUL,SC,12978,2006-07-03,2006-12-28,2.089,2.867,2.553333025119433
CENTRO-OESTE,DF,2678,2007-01-02,2007-06-27,2.169,2.699,2.560210978342046
CENTRO-OESTE,GO,8263,2007-01-02,2007-06-27,2.169,2.899,2.588037637661866
